
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:02 UTC 2017
Data Source: https://onionoo.torproject.org

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NAME

AS_NAME (count)                                          CONSENSUS_WEIGHT_FRAC
RWTH Aachen University (4)                               0.3%
2267921 ONTARIO LTD (61)                                 0.3%
Bytemark Limited (9)                                     0.3%
Foreningen for digitala fri- och rattigheter (8)         0.3%
Free SAS (57)                                            0.3%
UAB Cherry Servers (16)                                  0.3%
Orange (38)                                              0.3%
Unithost Internet B.V. (1)                               0.3%
Simon Frerichs (3)                                       0.3%
WholeSale Internet, Inc. (11)                            0.3%
CW Vodafone Group PLC (10)                               0.3%
Oy Creanova Hosting Solutions Ltd. (10)                  0.3%
KPN B.V. (20)                                            0.3%
netcup GmbH (25)                                         0.3%
Hostkey B.v. (8)                                         0.2%
Techcrea Solutions SARL (13)                             0.2%
SUNET SUNET Swedish University Network (6)               0.2%
Telia Company AB (23)                                    0.2%
Strato AG (30)                                           0.2%
NYNEX satellite OHG (1)                                  0.2%
Global Layer B.V. (4)                                    0.2%
BornFiber Service Provider ApS (3)                       0.2%
Lynet Internett AS (7)                                   0.2%
OOO Fishnet Communications (16)                          0.2%
ServerAstra Kft. (10)                                    0.2%
GHOSTnet GmbH (8)                                        0.2%
Deninet KFT (1)                                          0.2%
Brass Horn Communications (8)                            0.2%
M247 Ltd (30)                                            0.2%
Serverius Holding B.V. (10)                              0.2%
Zencurity ApS (2)                                        0.2%
Liberty Global Operations B.V. (120)                     0.2%
PJSC Rostelecom (54)                                     0.2%
T-Mobile Thuis BV (2)                                    0.2%
Team Cymru Inc. (6)                                      0.2%
Telenor Norge AS (33)                                    0.2%
Profitbricks GmbH (1)                                    0.2%
Broadnet AS (7)                                          0.2%
Zayo Bandwidth Inc (4)                                   0.2%
Nine Internet Solutions AG (6)                           0.2%
The Calyx Institute (11)                                 0.2%
Cambrium IT Services B.V. (4)                            0.2%
Google Fiber Inc. (12)                                   0.2%
Quintex Alliance Consulting (5)                          0.2%
University of Warwick (1)                                0.2%
UK-2 Limited (10)                                        0.2%
Magyar Telekom plc. (7)                                  0.2%
Hostwinds LLC. (9)                                       0.1%
MivoCloud SRL (14)                                       0.1%
Iws Networks LLC (1)                                     0.1%
IP-Only Networks AB (4)                                  0.1%
Amazon.com, Inc. (50)                                    0.1%
Joshua Peter McQuistan (8)                               0.1%
Bahnhof Internet AB (27)                                 0.1%
Telia Finland Oyj (15)                                   0.1%
D-hosting die Rackspace & Connectivity GmbH (1)          0.1%
Parfumuri Femei.com SRL (9)                              0.1%
M-net Telekommunikations GmbH (21)                       0.1%
First Colo GmbH (6)                                      0.1%
Tamatiya EOOD (5)                                        0.1%
DataClub S.A. (5)                                        0.1%
Danish network for Research and Education (3)            0.1%
EasySpeedy Danmark ApS (3)                               0.1%
Netaction Telecom Srl-d (4)                              0.1%
(aq) networks limited (1)                                0.1%
i3d B.V. (3)                                             0.1%
AS33891 Netzbetrieb GmbH (7)                             0.1%
PCextreme B.V. (13)                                      0.1%
TOCICI LLC (1)                                           0.1%
FranTech Solutions (15)                                  0.1%
University of Waterloo (2)                               0.1%
LES.NET (1)                                              0.1%
VimpelCom (33)                                           0.1%
Istanbuldc Veri Merkezi Ltd. Sti (5)                     0.1%
Comcast Cable Communications, LLC (113)                  0.1%
XMission, L.C. (5)                                       0.1%
IPAX OG (2)                                              0.1%
Wikimedia Foundation, Inc. (2)                           0.1%
SFR (21)                                                 0.1%
HostHatch, Inc (7)                                       0.1%
SkyNet Ltd. (8)                                          0.1%
XO Communications (6)                                    0.1%
Loco Digital LTD (6)                                     0.1%
Swisscom (Switzerland) Ltd (12)                          0.1%
JSC ISPsystem (9)                                        0.1%
Ch-net S.r.l. (3)                                        0.1%
Greek Research and Technology Network S.A (14)           0.1%
LIAZO SARL (2)                                           0.1%
Bouygues Telecom SA (13)                                 0.1%
INTERNET CZ, a.s. (11)                                   0.1%
Microsoft Corporation (17)                               0.1%
CAIW Diensten B.V. (4)                                   0.1%
Fiberby ApS (3)                                          0.1%
Mir Telematiki Ltd (12)                                  0.1%
Ikoula Net SAS (4)                                       0.1%
TELE2 (3)                                                0.1%
rrbone UG (haftungsbeschraenkt) (1)                      0.1%
Digicube sas (8)                                         0.1%
Swiftway Sp. z o.o. (13)                                 0.1%
JSC ER-Telecom Holding (19)                              0.1%
Redstation Limited (2)                                   0.1%
Denetron LLC (2)                                         0.1%
Hostiserver Ltd (1)                                      0.1%
Quasi Networks LTD. (6)                                  0.1%
Host Sailor Ltd. (4)                                     0.1%
BSE Software GmbH (1)                                    0.1%
Sinarohost LTD (5)                                       0.1%
Telefonica De Espana (10)                                0.1%
Edutel BV (9)                                            0.1%
Snel.com B.V. (1)                                        0.1%
Ownit AB (5)                                             0.1%
Aruba S.p.A. (14)                                        0.1%
DNA Oyj (17)                                             0.1%
PE Ivanov Vitaliy Sergeevich (7)                         0.1%
ACONET (1)                                               0.1%
T-Mobile Czech Republic a.s. (2)                         0.1%
Netwerkvereniging Coloclue (4)                           0.1%
Net By Net Holding LLC (17)                              0.1%
PRO-ZETA a.s. (2)                                        0.1%
Nobis Technology Group, LLC (3)                          0.1%
Time Warner Cable Internet LLC (50)                      0.1%
Aktsiaselts WaveCom (1)                                  0.1%
Coolhousing s.r.o. (4)                                   0.1%
ColoCrossing (20)                                        0.1%
Content Delivery Network Ltd (9)                         0.1%
Saitis Network, N.Desir (2)                              0.1%
University of North Carolina at Chapel Hill (1)          0.1%
Dotsi, Unipessoal Lda. (4)                               0.1%
EDIS GmbH (10)                                           0.1%
British Telecommunications PLC (34)                      0.1%
RCS & RDS (8)                                            0.1%
Obenetwork AB (3)                                        0.1%
Qwest Communications Company, LLC (16)                   0.1%
Frontier Communications of America, Inc. (13)            0.1%
Hostline, Uab (1)                                        0.1%
PE Freehost (4)                                          0.1%
Karlsruhe Institute of Technology (1)                    0.1%
Neo Telecoms S.A.S. (1)                                  0.1%
Accelerated IT Services GmbH (18)                        0.1%
Visual Online S.A. (2)                                   0.1%
AEG (1)                                                  0.1%
NetCologne GmbH (10)                                     0.1%
Vodafone Kabel Deutschland GmbH (63)                     0.1%
BHost Inc (2)                                            0.1%
Liteserver VOF (6)                                       0.1%
Studentersamfundet i Trondhjem (1)                       0.1%
Internet4U Kereskedelmi es Szolgaltato Kft. (1)          0.1%
23Media GmbH (9)                                         0.1%
Arrowhead A/S (8)                                        0.1%
PE Tetyana Mysyk (1)                                     0.0%
2COM Co Ltd. (3)                                         0.0%
dogado GmbH (2)                                          0.0%
Ziggo (21)                                               0.0%
ELB Multimedia SARL (1)                                  0.0%
Leaseweb Asia Pacific pte. ltd. (11)                     0.0%
Flashdance Ab (2)                                        0.0%
Martin Prager trading as NbIServ (20)                    0.0%
US Dedicated (1)                                         0.0%
PLANET IC GmbH (1)                                       0.0%
Zdruzenie pouzivatelov Slovenskej akademickej dato (4)   0.0%
Keminet Ltd. (5)                                         0.0%
ServerBase GmbH (3)                                      0.0%
Iwacom Sp. Z O.o. (3)                                    0.0%
MAROSNET Telecommunication Company LLC (4)               0.0%
Aixit GmbH (1)                                           0.0%
Altibox AS (7)                                           0.0%
Bredband2 AB (6)                                         0.0%
Volia (13)                                               0.0%
PE Pashinska Oksana Vasulivna (2)                        0.0%
velia.net Internetdienste GmbH (6)                       0.0%
Joe's Datacenter, LLC (2)                                0.0%
Stockholms Stadsnat AB (2)                               0.0%
CESNET z.s.p.o. (2)                                      0.0%
Google Inc. (9)                                          0.0%
AT&T Services, Inc. (20)                                 0.0%
Marco Sandro Naf (1)                                     0.0%
Rainside s.r.o. (1)                                      0.0%
Steadfast (1)                                            0.0%
Cablevision Systems Corp. (8)                            0.0%
MediaServicePlus LLC (5)                                 0.0%
DoclerWeb Kft. (1)                                       0.0%
Com Hem AB (8)                                           0.0%
Master Internet s.r.o. (6)                               0.0%
Aqua Ray SAS (1)                                         0.0%
Sunrise Communications AG (4)                            0.0%
Eonix Corporation (8)                                    0.0%
Concorde inc. (1)                                        0.0%
SuperNetwork s.r.o. (1)                                  0.0%
StreamLogic corp. (1)                                    0.0%
MK Netzdienste GmbH & Co. KG (1)                         0.0%
Daticum JSC (1)                                          0.0%
Perspectiva Ltd. (6)                                     0.0%
BELNET (5)                                               0.0%
Limestone Networks, Inc. (2)                             0.0%
MULTACOM CORPORATION (4)                                 0.0%
Hiper A/S (2)                                            0.0%
Portlane AB (11)                                         0.0%
Delta Softmedia Ltd. (2)                                 0.0%
HostPalace Web Solution PVT LTD (1)                      0.0%
Cyberverse, Inc. (3)                                     0.0%
Psychz Networks (5)                                      0.0%
IP-Connect LLC (4)                                       0.0%
Kopideja Ltd (2)                                         0.0%
AO Countrycom (1)                                        0.0%
Monkey Brains (4)                                        0.0%
Tele Danmark (11)                                        0.0%
Message Express Internet (1)                             0.0%
ON-LINE Ltd (1)                                          0.0%
Cloudpro LLC (2)                                         0.0%
server4you Inc. (2)                                      0.0%
Cronyx Plus Ltd. (2)                                     0.0%
Andreas Fink trading as Fink Telecom Services (2)        0.0%
Sorta-hosting-smllc (1)                                  0.0%
Tehnologii Budushego LLC (1)                             0.0%
Hostpro Ltd. (2)                                         0.0%
YOUR.ORG, INC. (1)                                       0.0%
Krond Solutions Srl (1)                                  0.0%
DataOppdrag AS (1)                                       0.0%
Internap Network Services Corporation (2)                0.0%
Sologigabit S.L. (4)                                     0.0%
ATW Internet Kft. (1)                                    0.0%
Dediserv Dedicated Servers Sp. z o.o. (1)                0.0%
Transip B.V. (9)                                         0.0%
Hyperoptic Ltd (3)                                       0.0%
The New York Internet Company (3)                        0.0%
Mediam Oy (1)                                            0.0%
SIA Bighost.lv (12)                                      0.0%
Saint-Petersburg Computer Networks Ltd. (2)              0.0%
SDS-Vostok Ltd. (5)                                      0.0%
Hotwire Communications (1)                               0.0%
Leaseweb USA, Inc. (2)                                   0.0%
SYN LTD (2)                                              0.0%
Inter Connects Inc (2)                                   0.0%
RM Engineering LLC (4)                                   0.0%
Telenet BVBA (7)                                         0.0%
GoDaddy.com, LLC (3)                                     0.0%
COLT Technology Services Group Limited (3)               0.0%
Orange Espagne S.A.U. (7)                                0.0%
HOSTING90 systems s.r.o. (1)                             0.0%
Reliable Hosting Services (1)                            0.0%
Comvive Servidores S.L. (1)                              0.0%
Association Gitoyen (1)                                  0.0%
Netelligent Hosting Services Inc. (4)                    0.0%
23VNet Kft. (2)                                          0.0%
Central Telegraph Public Joint-stock Company (3)         0.0%
1&1 Versatel Deutschland GmbH (11)                       0.0%
TOV Magnus Limited (1)                                   0.0%
Alexhost Srl (3)                                         0.0%
Vodafone GmbH (36)                                       0.0%
UAB Porenta (1)                                          0.0%
AbeloHost B.V. (4)                                       0.0%
Qhoster Ltd. (1)                                         0.0%
Limited liability company Mail.Ru (1)                    0.0%
inAsset Networks, S.L. (1)                               0.0%
NETRIX SAS (2)                                           0.0%
Netsign Networks GmbH (1)                                0.0%
Im Level7 Srl (1)                                        0.0%
Total Server Solutions L.L.C. (5)                        0.0%
Nav Communications Srl (2)                               0.0%
Universitaet Stuttgart (4)                               0.0%
Cenac Towing Co. (1)                                     0.0%
DataShack, LC (4)                                        0.0%
Telefonica Germany (38)                                  0.0%
NORDUnet (1)                                             0.0%
AllTele Allmanna Svenska Telefonaktiebolaget (3)         0.0%
Eigo Solutii Srl (4)                                     0.0%
University of Utah (3)                                   0.0%
Hosteam S.c. Tomasz Groszewski Bartosz Waszak Luka (2)   0.0%
Turnkey Internet Inc. (1)                                0.0%
US Internet Corp (2)                                     0.0%
Rices Privately owned enterprise (3)                     0.0%
SoftLayer Technologies Inc. (19)                         0.0%
Thor Data Center ehf (12)                                0.0%
DIGI Tavkozlesi es Szolgaltato Kft. (5)                  0.0%
Specialized Bulletin Board Systems (1)                   0.0%
Lucky Net Ltd (3)                                        0.0%
Internetport Sweden AB (5)                               0.0%
Bezeq International (7)                                  0.0%
NedZone Internet BV (1)                                  0.0%
wilhelm.tel GmbH (8)                                     0.0%
Servers.com, Inc. (1)                                    0.0%
Institute of Soil Science and Plant Cultivation (1)      0.0%
UAB Esnet (1)                                            0.0%
Rial Com JSC (1)                                         0.0%
vollmar.net GmbH (5)                                     0.0%
DA International Group Ltd. (1)                          0.0%
Webaxys SAS (3)                                          0.0%
RADIOGRAFICA COSTARRICENSE (6)                           0.0%
Szervernet Ltd (1)                                       0.0%
Metronet (1)                                             0.0%
FOP Kazakov Oleksandr Oleksandrovich (2)                 0.0%
Loqal AS (1)                                             0.0%
WebNX, Inc. (1)                                          0.0%
Hosting Solution Ltd. (5)                                0.0%
Boston University (1)                                    0.0%
Tele2 SWIPnet (3)                                        0.0%
iHome LLC (1)                                            0.0%
UK Dedicated Servers Limited (1)                         0.0%
UNINETT AS (2)                                           0.0%
Hoffrath & Janssen GbR (2)                               0.0%
Aruba SAS (5)                                            0.0%
HostDime.com, Inc. (3)                                   0.0%
JSC Internet-Cosmos (1)                                  0.0%
Get AS (5)                                               0.0%
CS Sales Sweden AB (1)                                   0.0%
GANDI SAS (6)                                            0.0%
Verixi Sprl (1)                                          0.0%
CYBERDYNE (4)                                            0.0%
COOL-IDEAS (1)                                           0.0%
Livenet Sp. z o.o. (4)                                   0.0%
Colocall Ltd. (3)                                        0.0%
BelCloud Hosting Corporation (5)                         0.0%
NINET Company Nis d.o.o. (1)                             0.0%
Simply Transit Ltd (3)                                   0.0%
Dennis Rainer Warnholz trading as active-servers.c (4)   0.0%
JSC Mediasoft ekspert (2)                                0.0%
Inetcom LLC (3)                                          0.0%
Login, Inc. (2)                                          0.0%
Cooolbox AD (1)                                          0.0%
GARS Telecom - Telecommunications Management LLC (1)     0.0%
PLUTEX GmbH (1)                                          0.0%
Junet AB (1)                                             0.0%
Maxnet Telecom, Ltd (1)                                  0.0%
Neterra Ltd. (7)                                         0.0%
Next Host SRL (1)                                        0.0%
Autonomous Non-commercial Organization Regional Ne (1)   0.0%
Riseup Networks (3)                                      0.0%
3W Infra B.V. (1)                                        0.0%
home.pl S.A. (2)                                         0.0%
GTT a.s. (2)                                             0.0%
sprint S.A. (2)                                          0.0%
Claranet Ltd (3)                                         0.0%
Flex Ltd. (1)                                            0.0%
Seti Weba Ltd (2)                                        0.0%
Inovare-Prim SRL (1)                                     0.0%
Dgn Teknoloji A.s. (1)                                   0.0%
TOV Trest Ukrtelebud (1)                                 0.0%
Priority Colo Inc (1)                                    0.0%
Telecom3 Sverige AB (4)                                  0.0%
Data Communication Business Group (8)                    0.0%
a.b.n. Jsc (1)                                           0.0%
Gorset Ltd. (1)                                          0.0%
Kabel BW (21)                                            0.0%
The University of Western Ontario (1)                    0.0%
prgmr.com, Inc. (6)                                      0.0%
Quartz Telecom LLC (1)                                   0.0%
NetsurfUSA, Inc. (1)                                     0.0%
Start LLC (2)                                            0.0%
Individual Network Berlin e.V. (4)                       0.0%
High-Speed Universal Broadband Services C.I.C. (1)       0.0%
Petersburg Internet Network ltd. (1)                     0.0%
Enzu Inc (3)                                             0.0%
HIVELOCITY VENTURES CORP (2)                             0.0%
Elenkom LLC (1)                                          0.0%
Incero LLC (4)                                           0.0%
East Telecom Ltd. (1)                                    0.0%
Private Entrepreneur Liudmyla V. Murad (1)               0.0%
Carnegie Mellon University (1)                           0.0%
Hydra Communications Ltd (4)                             0.0%
Beirel Telecom LLC (1)                                   0.0%
Melbikomas UAB (4)                                       0.0%
Charter Communications (18)                              0.0%
Videotron Telecom Ltee (5)                               0.0%
Sardegna Wifi Srl (1)                                    0.0%
WideOpenWest Finance LLC (8)                             0.0%
Cox Communications Inc. (21)                             0.0%
vanoppen.biz LLC (6)                                     0.0%
K Telecom (1)                                            0.0%
Hostinger International Limited (3)                      0.0%
MnogoByte LLC (1)                                        0.0%
Greenhost BV (4)                                         0.0%
Stanford University (1)                                  0.0%
TekSavvy Solutions, Inc. (15)                            0.0%
Shaw Communications Inc. (12)                            0.0%
Netgroup A/S (1)                                         0.0%
Fastweb (10)                                             0.0%
Nerim SAS (1)                                            0.0%
OJSC Ufanet (4)                                          0.0%
Quickline AG (11)                                        0.0%
FOP Dolgiy Andriy Fedorovuch (2)                         0.0%
Burlington Telecom (1)                                   0.0%
Paxio Inc. (1)                                           0.0%
Telia Lietuva, AB (5)                                    0.0%
NovaTrend Services GmbH (1)                              0.0%
Bell Canada (3)                                          0.0%
Livehosting Datacenter Srl (1)                           0.0%
Shop-in-box LLC (1)                                      0.0%
Solcon Internetdiensten N.V. (2)                         0.0%
XenoSite B.V. (1)                                        0.0%
Mobiltel Ead (5)                                         0.0%
nexellent ag (1)                                         0.0%
Cyber Wurx LLC (1)                                       0.0%
Blix Solutions AS (1)                                    0.0%
Virgin Media Limited (23)                                0.0%
Continuum Data Centers, LLC. (2)                         0.0%
SITEL Sp z o. o. (1)                                     0.0%
Prometeus di Daniela Agro (6)                            0.0%
Trader soft LLC (3)                                      0.0%
dao Consulting, LLC (1)                                  0.0%
ENTER S.r.l. (1)                                         0.0%
Input Output Flood LLC (4)                               0.0%
Peer 1 Network (USA) Inc. (5)                            0.0%
HostUS (5)                                               0.0%
LLC tc Tel Center (4)                                    0.0%
C&S Breitband GmbH (1)                                   0.0%
Hosting Services, Inc. (4)                               0.0%
meerfarbig GmbH & Co. KG (1)                             0.0%
gsnet.cz s.r.o. (1)                                      0.0%
Sternforth Ltd. (2)                                      0.0%
LLC KomTehCentr (2)                                      0.0%
K-NET SARL (1)                                           0.0%
OOO Network of data-centers Selectel (4)                 0.0%
Condointernet.net (2)                                    0.0%
GX INTERNET E WEB HOSTING SERV DE INFORMATICA LTDA (1)   0.0%
CloudHosting SIA (1)                                     0.0%
Iway AG (6)                                              0.0%
Internetia Sp.z o.o. (1)                                 0.0%
City Network Hosting AB (2)                              0.0%
Sprint (2)                                               0.0%
Centrilogic, Inc. (2)                                    0.0%
Telecom Italia (8)                                       0.0%
CentroNet a.s. (1)                                       0.0%
Liquid Web, L.L.C (3)                                    0.0%
PVimpelCom (5)                                           0.0%
Vodafone Italia S.p.A. (6)                               0.0%
NC Numericable S.A. (10)                                 0.0%
OJSC Comcor (1)                                          0.0%
Nette sp. z o.o. (2)                                     0.0%
Connecta sp. z o.o. (1)                                  0.0%
JMDI Jacek Maleszko (3)                                  0.0%
RamNode LLC (11)                                         0.0%
RouteLabel V.O.F. (6)                                    0.0%
North State Telephone Co. (2)                            0.0%
JSC BIG Telecom Ural (1)                                 0.0%
BEST-NET s.r.o. (1)                                      0.0%
SC Fastweb SRL (1)                                       0.0%
KDDI CORPORATION (5)                                     0.0%
TATA COMMUNICATIONS (AMERICA) INC (1)                    0.0%
Namecheap, Inc. (1)                                      0.0%
DirectSpace Networks, LLC. (2)                           0.0%
Ticinocom SA (1)                                         0.0%
Vega-Service, LLC (1)                                    0.0%
Elisa Oyj (5)                                            0.0%
Cloudsigma Ag (3)                                        0.0%
ITC Electron Ltd (1)                                     0.0%
Clarkson University (1)                                  0.0%
New Dream Network, LLC (2)                               0.0%
Genossenschaft GGA Maur (2)                              0.0%
Perfect International, Inc (1)                           0.0%
Allo Communications LLC (1)                              0.0%
THC Projects SRL (3)                                     0.0%
Saskatchewan Telecommunications (2)                      0.0%
IP-Max SA (1)                                            0.0%
lcp nv (2)                                               0.0%
GMO Internet,Inc (5)                                     0.0%
Longmont Power & Communications (3)                      0.0%
Ultracom Ltd. (2)                                        0.0%
TerraHost AS (2)                                         0.0%
OJS Moscow city telephone network (7)                    0.0%
HETNiX SRL (2)                                           0.0%
DataWagon LLC (1)                                        0.0%
Histate Global Corp. (4)                                 0.0%
Ukrainian Internet Names Center LTD (2)                  0.0%
Telecom.ru Ltd (1)                                       0.0%
Penkiu kontinentu komunikaciju centras, Ltd. (1)         0.0%
Korea Telecom (11)                                       0.0%
SAKURA Internet Inc. (8)                                 0.0%
Zen Internet Ltd (6)                                     0.0%
First Telecommunication Center LLC (1)                   0.0%
Brezhnev D.S. PE (1)                                     0.0%
EWE-Tel GmbH (4)                                         0.0%
Sky UK Limited (10)                                      0.0%
CASCADELINK INC (1)                                      0.0%
University of Kansas (1)                                 0.0%
TheNebulaCloud, Inc. (1)                                 0.0%
Iomart (4)                                               0.0%
Procono S.A. (1)                                         0.0%
BRIGHT HOUSE NETWORKS, LLC (6)                           0.0%
CityNet Telekom Ltd. (1)                                 0.0%
Highwinds Network Group, Inc. (1)                        0.0%
EPB Fiber Optics (1)                                     0.0%
Vectra S.A. (5)                                          0.0%
Closed Joint Stock Company TransTeleCom (1)              0.0%
LLC TOMTEL (1)                                           0.0%
SYNAPSECOM S.A. Provider of Telecommunications and (2)   0.0%
Tiera Centr Ltd (1)                                      0.0%
Corbina Telecom LLC (1)                                  0.0%
LLC Murmansk Multiservice Networks (1)                   0.0%
Pallada Web Service LLC (2)                              0.0%
Telenet SIA (1)                                          0.0%
Intersvyaz-2 JSC (2)                                     0.0%
NTE Bredband AS (1)                                      0.0%
OOO NI (1)                                               0.0%
MTS PJSC (5)                                             0.0%
Info Data Center Ltd. (1)                                0.0%
R-KOM Regensburger Telekommunikationsgesellschaft  (1)   0.0%
NET1 Ltd. (2)                                            0.0%
Dynamic ASP Inc. (1)                                     0.0%
Next point Host EOOD. (1)                                0.0%
CyrusOne LLC (1)                                         0.0%
SatTel Corporation, Ltd. (2)                             0.0%
University of Washington (1)                             0.0%
OOO Sysmedia (1)                                         0.0%
Partner Communications Ltd. (1)                          0.0%
SIA Lattelecom (2)                                       0.0%
LyonLabs, LLC (1)                                        0.0%
ITnet S.r.l. (1)                                         0.0%
DARZ GmbH (2)                                            0.0%
So-net Entertainment Corporation (6)                     0.0%
Proximus NV (12)                                         0.0%
AT&T Internet Services (2)                               0.0%
ServeTheWorld AS (1)                                     0.0%
SMART Comp. a.s. (1)                                     0.0%
RCN (4)                                                  0.0%
EBOX (3)                                                 0.0%
Jump Networks Ltd (5)                                    0.0%
OU Web Hosting Solutions (2)                             0.0%
Tiscali UK Limited (4)                                   0.0%
AxcelX Technologies LLC (1)                              0.0%
Hostmaze Inc Srl-d (3)                                   0.0%
Nevod Ltd (1)                                            0.0%
Wowrack.com (3)                                          0.0%
Associação Rede Nacional de Ensino e Pesquisa (6)      0.0%
Net-style Atarim Ltd (2)                                 0.0%
Artfiles New Media GmbH (1)                              0.0%
Uteam LTD (1)                                            0.0%
Horyzont Technologie Internetowe sp.z.o.o. (1)           0.0%
Unwired (2)                                              0.0%
JSC RTComm.RU (2)                                        0.0%
ecotel communication ag (4)                              0.0%
Nos Comunicacoes, S.A. (3)                               0.0%
Orange Moldova S.A. (1)                                  0.0%
Rackspace Ltd. (3)                                       0.0%
TDS TELECOM (2)                                          0.0%
CoreSpace, Inc. (1)                                      0.0%
Aalto University Student Union (2)                       0.0%
Arachnitec, INC. (1)                                     0.0%
Bradler & Krantz GmbH & Co. KG (4)                       0.0%
Krasnoyarsklespromproekt OJSC (1)                        0.0%
sol.net Network Services (2)                             0.0%
iTeract inc. (1)                                         0.0%
State Educational Institution of higher profession (1)   0.0%
HighSpeed Office Limited (2)                             0.0%
Lightspeed Communications, LLC (1)                       0.0%
Rogers Cable Communications Inc. (1)                     0.0%
Sangmyung University (1)                                 0.0%
VKontakte Ltd (1)                                        0.0%
ALDIS Telecom Ltd (2)                                    0.0%
California Institute of Technology (1)                   0.0%
Argon Data Communication (2)                             0.0%
Mike Kaldig (1)                                          0.0%
JSC Digital Network (2)                                  0.0%
CDM (1)                                                  0.0%
OOO National Telecommunications (1)                      0.0%
Limited Company Svyazservice (1)                         0.0%
DCS Pacific Star, LLC (1)                                0.0%
Tech Futures Interactive Inc. (4)                        0.0%
VNET a.s. (2)                                            0.0%
Arvig Enterprises Inc. (1)                               0.0%
Lanet Network Ltd (3)                                    0.0%
Ivstar Ltd (1)                                           0.0%
BiConsult Eood (1)                                       0.0%
Nianet A/S (2)                                           0.0%
Private Enterprise Mageal (2)                            0.0%
Sharktech (1)                                            0.0%
Kom lan Ltd (1)                                          0.0%
Kyivstar PJSC (2)                                        0.0%
Bell Aliant Regional Communications, Inc. (1)            0.0%
Informacines sistemos ir technologijos, UAB (2)          0.0%
Level 3 Communications, Inc. (4)                         0.0%
Novotelecom Ltd (3)                                      0.0%
EATEL (1)                                                0.0%
Republican Unitary Telecommunication Enterprise Be (1)   0.0%
SIA Digitalas Ekonomikas Attistibas Centrs (1)           0.0%
VirtualComplete, LLC (1)                                 0.0%
mhs internet AG (1)                                      0.0%
Nexeon Technologies, Inc. (3)                            0.0%
Occino GmbH (1)                                          0.0%
Free Software Foundation, Inc. (1)                       0.0%
Gigaclear PLC (1)                                        0.0%
Hawaiian Telcom Services Company, Inc. (1)               0.0%
Iteranet LLC (3)                                         0.0%
Omnilance Ltd (1)                                        0.0%
Consortium GARR (3)                                      0.0%
SingleHop, Inc. (1)                                      0.0%
SIA Baltcom (1)                                          0.0%
Shine Servers Llp (1)                                    0.0%
Telia Eesti AS (1)                                       0.0%
SateliX s.r.o. (1)                                       0.0%
Orange Romania S.A. (1)                                  0.0%
Artnet Spolka z ograniczona odpowiedzialnoscia (1)       0.0%
Carolina Internet, Ltd. (1)                              0.0%
