
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:01 UTC 2017
Data Source: https://onionoo.torproject.org

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NUMBER

AS (count)        BANDWIDTH
AS34168 (3)       20881205.0 (0.1%)
AS15516 (8)       20576312.0 (0.1%)
AS8334 (3)        20410932.0 (0.1%)
AS47447 (9)       20214243.0 (0.1%)
AS33885 (5)       20200423.0 (0.1%)
AS394738 (2)      20036783.0 (0.1%)
AS29551 (1)       19858167.0 (0.1%)
AS41665 (1)       19303031.0 (0.1%)
AS21409 (4)       19282543.0 (0.1%)
AS33920 (1)       19251112.0 (0.1%)
AS36850 (1)       19171160.0 (0.1%)
AS50979 (6)       19163386.0 (0.1%)
AS50618 (2)       19075894.0 (0.1%)
AS5410 (13)       19036716.0 (0.1%)
AS42708 (11)      18933178.0 (0.1%)
AS63473 (7)       18776868.0 (0.1%)
AS50113 (5)       18767763.0 (0.1%)
AS49025 (2)       18733814.0 (0.1%)
AS8422 (10)       18642233.0 (0.1%)
AS3303 (11)       18384525.0 (0.1%)
AS20857 (9)       18189765.0 (0.1%)
AS29695 (7)       17785907.0 (0.1%)
AS48666 (4)       17732887.0 (0.1%)
AS56934 (4)       17652219.0 (0.1%)
AS35916 (4)       17432298.0 (0.1%)
AS60011 (2)       17054078.0 (0.1%)
AS49588 (5)       16961369.0 (0.1%)
AS2856 (17)       16832888.0 (0.1%)
AS15435 (4)       16701321.0 (0.1%)
AS3209 (36)       16568640.0 (0.1%)
AS45031 (2)       16169532.0 (0.1%)
AS197706 (5)      16119219.0 (0.1%)
AS5588 (2)        15948315.0 (0.1%)
AS6805 (38)       15706916.0 (0.1%)
AS2607 (4)        15492353.0 (0.1%)
AS50392 (2)       15478641.0 (0.1%)
AS9044 (1)        15442215.0 (0.1%)
AS200709 (12)     15353573.0 (0.1%)
AS57944 (4)       15315680.0 (0.1%)
AS41733 (6)       15297854.0 (0.1%)
AS42331 (4)       15173820.0 (0.1%)
AS15169 (9)       15126707.0 (0.1%)
AS29066 (6)       15109677.0 (0.1%)
AS6775 (2)        15089695.0 (0.1%)
AS30693 (5)       15084622.0 (0.1%)
AS24971 (6)       14899310.0 (0.1%)
AS41508 (3)       14698351.0 (0.1%)
AS16652 (3)       14673022.0 (0.1%)
AS11403 (3)       14650720.0 (0.1%)
AS200019 (3)      14650687.0 (0.1%)
AS58302 (1)       14647804.0 (0.1%)
AS2852 (2)        14539855.0 (0.1%)
AS8997 (7)        14516165.0 (0.0%)
AS14618 (9)       14401766.0 (0.0%)
AS12850 (1)       14374912.0 (0.0%)
AS26496 (3)       14336396.0 (0.0%)
AS8881 (11)       14253538.0 (0.0%)
AS6893 (2)        14170663.0 (0.0%)
AS51290 (2)       14151840.0 (0.0%)
AS59741 (1)       14100837.0 (0.0%)
AS6128 (8)        13941902.0 (0.0%)
AS47172 (4)       13904787.0 (0.0%)
AS47570 (2)       13902973.0 (0.0%)
AS39651 (8)       13890689.0 (0.0%)
AS32329 (4)       13777729.0 (0.0%)
AS59729 (6)       13498969.0 (0.0%)
AS29518 (6)       13476041.0 (0.0%)
AS60117 (4)       13455051.0 (0.0%)
AS199103 (1)      13306365.0 (0.0%)
AS199417 (3)      13244512.0 (0.0%)
AS12871 (2)       13227721.0 (0.0%)
AS49877 (4)       13162129.0 (0.0%)
AS34878 (1)       13103327.0 (0.0%)
AS61053 (1)       13062038.0 (0.0%)
AS44581 (3)       13040647.0 (0.0%)
AS50821 (2)       12976681.0 (0.0%)
AS34224 (7)       12932596.0 (0.0%)
AS23089 (1)       12904348.0 (0.0%)
AS14576 (5)       12901413.0 (0.0%)
AS2611 (5)        12865083.0 (0.0%)
AS37560 (4)       12609776.0 (0.0%)
AS49770 (5)       12441068.0 (0.0%)
AS201848 (3)      12435730.0 (0.0%)
AS8331 (2)        12379742.0 (0.0%)
AS8218 (1)        12314304.0 (0.0%)
AS49349 (4)       12292208.0 (0.0%)
AS9008 (2)        12259902.0 (0.0%)
AS8220 (3)        12259148.0 (0.0%)
AS3292 (9)        12178096.0 (0.0%)
AS11051 (3)       12164933.0 (0.0%)
AS196645 (2)      12106302.0 (0.0%)
AS50613 (12)      12045819.0 (0.0%)
AS46475 (2)       12009958.0 (0.0%)
AS34702 (1)       11902635.0 (0.0%)
AS12552 (1)       11791000.0 (0.0%)
AS49855 (1)       11773853.0 (0.0%)
AS40676 (5)       11757794.0 (0.0%)
AS22772 (2)       11707965.0 (0.0%)
AS197595 (3)      11683482.0 (0.0%)
AS3790 (6)        11644865.0 (0.0%)
AS48693 (3)       11550534.0 (0.0%)
AS39138 (1)       11508085.0 (0.0%)
AS200185 (5)      11500416.0 (0.0%)
AS2603 (1)        11497802.0 (0.0%)
AS10996 (1)       11486069.0 (0.0%)
AS12508 (1)       11470235.0 (0.0%)
AS60144 (1)       11391681.0 (0.0%)
AS20766 (1)       11332751.0 (0.0%)
AS12389 (12)      11317122.0 (0.0%)
AS25189 (1)       11313840.0 (0.0%)
AS33387 (4)       11266741.0 (0.0%)
AS46562 (5)       11265014.0 (0.0%)
AS47074 (1)       11238291.0 (0.0%)
AS12715 (7)       11203912.0 (0.0%)
AS20845 (5)       11100963.0 (0.0%)
AS198651 (1)      11041894.0 (0.0%)
AS62904 (3)       10995842.0 (0.0%)
AS8426 (3)        10883645.0 (0.0%)
AS8351 (1)        10879053.0 (0.0%)
AS19969 (2)       10851022.0 (0.0%)
AS56630 (4)       10833305.0 (0.0%)
AS62370 (1)       10783404.0 (0.0%)
AS42655 (1)       10730476.0 (0.0%)
AS43326 (2)       10726824.0 (0.0%)
AS3254 (3)        10718894.0 (0.0%)
AS44923 (2)       10691472.0 (0.0%)
AS196750 (2)      10683781.0 (0.0%)
AS12093 (2)       10649620.0 (0.0%)
AS6848 (7)        10618291.0 (0.0%)
AS3462 (8)        10607088.0 (0.0%)
AS49409 (1)       10532155.0 (0.0%)
AS203049 (2)      10517351.0 (0.0%)
AS25229 (13)      10454114.0 (0.0%)
AS34456 (1)       10435584.0 (0.0%)
AS5089 (23)       10427615.0 (0.0%)
AS198156 (1)      10341367.0 (0.0%)
AS32780 (4)       10317213.0 (0.0%)
AS6730 (4)        10305896.0 (0.0%)
AS10929 (4)       10286769.0 (0.0%)
AS20742 (1)       10266388.0 (0.0%)
AS22773 (21)      10250981.0 (0.0%)
AS29562 (21)      10215170.0 (0.0%)
AS19255 (1)       10210066.0 (0.0%)
AS25092 (1)       10171392.0 (0.0%)
AS11427 (12)      10146915.0 (0.0%)
AS6871 (17)       10093286.0 (0.0%)
AS34274 (1)       10072353.0 (0.0%)
AS15943 (8)       10060863.0 (0.0%)
AS41653 (1)       10043537.0 (0.0%)
AS553 (4)         9914653.0 (0.0%)
AS58305 (2)       9883159.0 (0.0%)
AS8551 (7)        9833886.0 (0.0%)
AS31333 (5)       9811159.0 (0.0%)
AS197216 (2)      9791765.0 (0.0%)
AS6718 (2)        9759889.0 (0.0%)
AS42160 (2)       9730868.0 (0.0%)
AS63018 (1)       9679364.0 (0.0%)
AS57370 (1)       9646948.0 (0.0%)
AS197226 (2)      9641984.0 (0.0%)
AS39392 (1)       9632418.0 (0.0%)
AS203953 (2)      9625111.0 (0.0%)
AS30836 (2)       9530388.0 (0.0%)
AS57611 (4)       9515053.0 (0.0%)
AS48401 (1)       9427468.0 (0.0%)
AS39301 (3)       9272040.0 (0.0%)
AS8615 (3)        9233647.0 (0.0%)
AS10242 (2)       9231295.0 (0.0%)
AS24872 (1)       9222033.0 (0.0%)
AS34300 (1)       9208834.0 (0.0%)
AS39020 (1)       9100797.0 (0.0%)
AS47381 (1)       9098240.0 (0.0%)
AS54540 (4)       8913099.0 (0.0%)
AS60706 (1)       8906712.0 (0.0%)
AS62000 (2)       8827179.0 (0.0%)
AS41164 (5)       8815255.0 (0.0%)
AS39324 (1)       8797698.0 (0.0%)
AS32748 (1)       8712457.0 (0.0%)
AS44901 (5)       8481399.0 (0.0%)
AS35598 (3)       8413259.0 (0.0%)
AS18450 (1)       8405457.0 (0.0%)
AS47066 (6)       8401335.0 (0.0%)
AS17055 (3)       8388426.0 (0.0%)
AS54373 (1)       8388200.0 (0.0%)
AS15600 (11)      8350216.0 (0.0%)
AS15497 (3)       8287128.0 (0.0%)
AS12874 (10)      8278000.0 (0.0%)
AS31078 (1)       8184881.0 (0.0%)
AS37680 (1)       8184346.0 (0.0%)
AS59491 (4)       8165490.0 (0.0%)
AS20115 (16)      8114838.0 (0.0%)
AS52201 (4)       8113315.0 (0.0%)
AS224 (2)         8038319.0 (0.0%)
AS29169 (6)       7987552.0 (0.0%)
AS59505 (1)       7978645.0 (0.0%)
AS198171 (1)      7971355.0 (0.0%)
AS30083 (2)       7868979.0 (0.0%)
AS56478 (3)       7852357.0 (0.0%)
AS12083 (8)       7810374.0 (0.0%)
AS18978 (3)       7792483.0 (0.0%)
AS43588 (1)       7753416.0 (0.0%)
AS201630 (1)      7737862.0 (0.0%)
AS12271 (8)       7707434.0 (0.0%)
AS199847 (1)      7689161.0 (0.0%)
AS5769 (5)        7584491.0 (0.0%)
AS35094 (1)       7579120.0 (0.0%)
AS29713 (1)       7576306.0 (0.0%)
AS39288 (2)       7555034.0 (0.0%)
AS29550 (3)       7538325.0 (0.0%)
AS4766 (11)       7519299.0 (0.0%)
AS31863 (2)       7423854.0 (0.0%)
AS111 (1)         7340553.0 (0.0%)
AS43858 (3)       7336140.0 (0.0%)
AS203629 (2)      7283916.0 (0.0%)
AS204196 (4)      7236485.0 (0.0%)
AS6327 (12)       7131752.0 (0.0%)
AS200039 (4)      7076787.0 (0.0%)
AS48347 (2)       7068375.0 (0.0%)
AS22653 (1)       7060746.0 (0.0%)
AS60567 (1)       7053477.0 (0.0%)
AS33182 (3)       7019586.0 (0.0%)
AS51731 (2)       6992936.0 (0.0%)
AS8764 (5)        6988057.0 (0.0%)
AS47748 (1)       6943491.0 (0.0%)
AS3842 (11)       6936284.0 (0.0%)
AS57858 (2)       6889386.0 (0.0%)
AS25394 (1)       6848241.0 (0.0%)
AS133229 (1)      6776707.0 (0.0%)
AS12824 (2)       6667970.0 (0.0%)
AS41108 (2)       6619659.0 (0.0%)
AS5615 (2)        6584091.0 (0.0%)
AS47764 (1)       6567628.0 (0.0%)
AS46816 (2)       6560567.0 (0.0%)
AS39909 (1)       6546393.0 (0.0%)
AS35377 (1)       6526383.0 (0.0%)
AS2516 (5)        6504183.0 (0.0%)
AS29802 (2)       6443835.0 (0.0%)
AS43586 (1)       6439343.0 (0.0%)
AS40244 (1)       6418432.0 (0.0%)
AS197071 (4)      6398253.0 (0.0%)
AS35352 (1)       6394729.0 (0.0%)
AS11426 (8)       6391530.0 (0.0%)
AS25513 (7)       6321419.0 (0.0%)
AS49505 (4)       6321401.0 (0.0%)
AS30633 (1)       6305565.0 (0.0%)
AS5645 (13)       6304491.0 (0.0%)
AS59682 (1)       6278737.0 (0.0%)
AS35041 (1)       6249678.0 (0.0%)
AS25535 (1)       6237044.0 (0.0%)
AS21453 (1)       6235101.0 (0.0%)
AS45045 (2)       6232649.0 (0.0%)
AS34971 (6)       6227773.0 (0.0%)
AS92 (1)          6218303.0 (0.0%)
AS24955 (3)       6202923.0 (0.0%)
AS7979 (1)        6161408.0 (0.0%)
AS36743 (1)       6132419.0 (0.0%)
AS49964 (1)       6122950.0 (0.0%)
AS53264 (2)       6096061.0 (0.0%)
AS47893 (1)       6076696.0 (0.0%)
AS21502 (10)      6072760.0 (0.0%)
AS59895 (1)       6061403.0 (0.0%)
AS20001 (9)       6060260.0 (0.0%)
AS42148 (1)       6036142.0 (0.0%)
AS54858 (2)       6022642.0 (0.0%)
AS44050 (1)       5958922.0 (0.0%)
AS1239 (2)        5935038.0 (0.0%)
AS12161 (1)       5907785.0 (0.0%)
AS8369 (2)        5901830.0 (0.0%)
AS48642 (1)       5876313.0 (0.0%)
AS49455 (1)       5867624.0 (0.0%)
AS60602 (1)       5853954.0 (0.0%)
AS61400 (2)       5841478.0 (0.0%)
AS262603 (1)      5783253.0 (0.0%)
AS41668 (2)       5751840.0 (0.0%)
AS394256 (4)      5739052.0 (0.0%)
AS11404 (6)       5688661.0 (0.0%)
AS32244 (3)       5663157.0 (0.0%)
AS823 (1)         5595216.0 (0.0%)
AS43711 (1)       5574811.0 (0.0%)
AS22612 (1)       5503438.0 (0.0%)
AS198371 (1)      5456079.0 (0.0%)
AS42682 (3)       5454739.0 (0.0%)
AS30600 (1)       5439745.0 (0.0%)
AS25478 (1)       5382907.0 (0.0%)
AS39326 (2)       5362286.0 (0.0%)
AS30900 (2)       5313290.0 (0.0%)
AS49120 (1)       5310571.0 (0.0%)
AS15108 (1)       5309721.0 (0.0%)
AS29670 (4)       5299480.0 (0.0%)
AS60241 (1)       5291990.0 (0.0%)
AS28908 (3)       5274972.0 (0.0%)
AS206776 (4)      5258475.0 (0.0%)
AS47583 (3)       5192120.0 (0.0%)
AS2527 (6)        5173801.0 (0.0%)
AS31261 (1)       5151642.0 (0.0%)
AS24904 (1)       5139140.0 (0.0%)
AS41676 (3)       5105996.0 (0.0%)
AS7506 (5)        5097502.0 (0.0%)
AS31424 (1)       5092126.0 (0.0%)
AS6453 (1)        5089769.0 (0.0%)
AS41075 (1)       5065036.0 (0.0%)
AS7489 (5)        5055783.0 (0.0%)
AS48874 (3)       5046505.0 (0.0%)
AS8758 (6)        5013891.0 (0.0%)
AS16245 (1)       4996799.0 (0.0%)
AS53755 (4)       4983221.0 (0.0%)
AS42831 (1)       4977152.0 (0.0%)
AS30176 (1)       4946216.0 (0.0%)
AS58269 (1)       4942116.0 (0.0%)
AS13193 (1)       4940855.0 (0.0%)
AS15582 (1)       4931465.0 (0.0%)
AS38935 (1)       4927160.0 (0.0%)
AS59702 (1)       4921489.0 (0.0%)
AS34700 (1)       4907361.0 (0.0%)
AS41635 (1)       4899528.0 (0.0%)
AS3269 (8)        4893572.0 (0.0%)
AS5432 (12)       4885517.0 (0.0%)
AS8342 (2)        4868404.0 (0.0%)
AS8943 (5)        4774640.0 (0.0%)
AS13768 (5)       4757310.0 (0.0%)
AS30722 (6)       4723709.0 (0.0%)
AS1916 (6)        4683493.0 (0.0%)
AS5607 (10)       4676678.0 (0.0%)
AS12668 (2)       4658495.0 (0.0%)
AS198930 (1)      4622691.0 (0.0%)
AS43260 (1)       4591933.0 (0.0%)
AS51124 (2)       4570187.0 (0.0%)
AS26347 (2)       4516291.0 (0.0%)
AS32 (1)          4512688.0 (0.0%)
AS25459 (1)       4498312.0 (0.0%)
AS42695 (2)       4486830.0 (0.0%)
AS577 (3)         4440586.0 (0.0%)
AS42632 (1)       4363264.0 (0.0%)
AS203380 (1)      4357601.0 (0.0%)
AS50837 (3)       4333311.0 (0.0%)
AS35141 (4)       4275946.0 (0.0%)
AS35206 (1)       4232767.0 (0.0%)
AS29314 (5)       4184378.0 (0.0%)
AS22709 (2)       4184126.0 (0.0%)
AS199524 (1)      4125494.0 (0.0%)
AS9 (1)           4125175.0 (0.0%)
AS36734 (1)       4099275.0 (0.0%)
AS20860 (4)       4067611.0 (0.0%)
AS198203 (6)      4044766.0 (0.0%)
AS50009 (1)       4030809.0 (0.0%)
AS803 (2)         3984646.0 (0.0%)
AS8280 (2)        3931988.0 (0.0%)
AS25515 (3)       3931339.0 (0.0%)
AS54225 (1)       3886475.0 (0.0%)
AS8395 (1)        3875137.0 (0.0%)
AS7552 (4)        3850858.0 (0.0%)
AS3356 (3)        3849904.0 (0.0%)
AS58477 (2)       3830265.0 (0.0%)
AS3226 (1)        3825725.0 (0.0%)
AS51177 (3)       3815974.0 (0.0%)
AS7684 (5)        3780923.0 (0.0%)
AS9070 (1)        3775785.0 (0.0%)
AS14536 (2)       3768135.0 (0.0%)
AS61157 (4)       3751364.0 (0.0%)
AS21232 (2)       3750877.0 (0.0%)
AS50304 (1)       3749730.0 (0.0%)
AS47541 (1)       3734352.0 (0.0%)
AS197726 (2)      3722201.0 (0.0%)
AS7132 (2)        3718333.0 (0.0%)
AS50542 (1)       3715141.0 (0.0%)
AS12400 (1)       3713511.0 (0.0%)
AS36077 (1)       3703747.0 (0.0%)
AS6079 (4)        3680896.0 (0.0%)
AS198889 (1)      3666917.0 (0.0%)
AS3216 (3)        3650445.0 (0.0%)
AS51604 (2)       3630086.0 (0.0%)
AS21479 (1)       3628930.0 (0.0%)
AS393552 (3)      3577016.0 (0.0%)
AS41661 (2)       3566720.0 (0.0%)
AS47949 (1)       3559473.0 (0.0%)
AS61493 (7)       3558963.0 (0.0%)
AS31200 (3)       3527232.0 (0.0%)
AS13037 (6)       3505640.0 (0.0%)
AS35492 (1)       3469632.0 (0.0%)
AS48416 (1)       3466240.0 (0.0%)
AS855 (1)         3464797.0 (0.0%)
AS33363 (6)       3449175.0 (0.0%)
AS26827 (1)       3427539.0 (0.0%)
AS15426 (1)       3403550.0 (0.0%)
AS43561 (2)       3401093.0 (0.0%)
AS45839 (9)       3398452.0 (0.0%)
AS43939 (1)       3367107.0 (0.0%)
AS22439 (1)       3352315.0 (0.0%)
AS50911 (1)       3346690.0 (0.0%)
AS34533 (2)       3322880.0 (0.0%)
AS42794 (2)       3313965.0 (0.0%)
AS48900 (1)       3311944.0 (0.0%)
AS33901 (1)       3309568.0 (0.0%)
AS61335 (1)       3304221.0 (0.0%)
AS50716 (1)       3283289.0 (0.0%)
AS12414 (2)       3252424.0 (0.0%)
AS8228 (3)        3242062.0 (0.0%)
AS12578 (2)       3206962.0 (0.0%)
AS50543 (1)       3206759.0 (0.0%)
AS199081 (2)      3194408.0 (0.0%)
AS61317 (3)       3187584.0 (0.0%)
AS20836 (1)       3139757.0 (0.0%)
AS33604 (1)       3084503.0 (0.0%)
AS51515 (1)       3054806.0 (0.0%)
AS51975 (2)       3052820.0 (0.0%)
AS20910 (1)       3035214.0 (0.0%)
AS47069 (1)       3032943.0 (0.0%)
AS29321 (1)       3030928.0 (0.0%)
AS51032 (1)       3028235.0 (0.0%)
AS59253 (3)       3024557.0 (0.0%)
AS39869 (1)       3018913.0 (0.0%)
AS27699 (5)       3018292.0 (0.0%)
AS48438 (1)       3017783.0 (0.0%)
AS12620 (1)       3017728.0 (0.0%)
AS20552 (1)       2969918.0 (0.0%)
AS20013 (1)       2956081.0 (0.0%)
AS17819 (5)       2934774.0 (0.0%)
AS3242 (1)        2923197.0 (0.0%)
AS42038 (1)       2912011.0 (0.0%)
AS27176 (1)       2908377.0 (0.0%)
AS13790 (1)       2897268.0 (0.0%)
AS43266 (1)       2891885.0 (0.0%)
AS21211 (1)       2854227.0 (0.0%)
AS50472 (1)       2834634.0 (0.0%)
AS28271 (1)       2797159.0 (0.0%)
AS25454 (1)       2794769.0 (0.0%)
AS39102 (2)       2789777.0 (0.0%)
AS11588 (1)       2771159.0 (0.0%)
AS18329 (1)       2763776.0 (0.0%)
AS206963 (1)      2758889.0 (0.0%)
AS24589 (1)       2740571.0 (0.0%)
AS73 (1)          2733450.0 (0.0%)
AS34087 (1)       2728549.0 (0.0%)
AS60095 (1)       2720768.0 (0.0%)
AS202759 (2)      2713845.0 (0.0%)
AS19975 (1)       2694504.0 (0.0%)
AS39819 (3)       2691772.0 (0.0%)
AS6921 (1)        2685691.0 (0.0%)
AS39608 (3)       2676413.0 (0.0%)
AS61272 (2)       2660068.0 (0.0%)
AS20485 (1)       2637078.0 (0.0%)
AS29141 (4)       2627334.0 (0.0%)
AS14745 (1)       2618453.0 (0.0%)
AS3280 (2)        2617813.0 (0.0%)
AS12312 (4)       2617122.0 (0.0%)
AS42575 (1)       2612224.0 (0.0%)
AS48514 (1)       2611211.0 (0.0%)
AS46844 (1)       2605203.0 (0.0%)
