
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:01 UTC 2017
Data Source: https://onionoo.torproject.org

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (count)                                          BANDWIDTH
Nine Internet Solutions AG (6)                           29187861.0 (0.1%)
Fiberby ApS (3)                                          28372750.0 (0.1%)
XO Communications (6)                                    28227504.0 (0.1%)
Swisscom (Switzerland) Ltd (12)                          28031473.0 (0.1%)
INTERNET CZ, a.s. (11)                                   27972677.0 (0.1%)
Iws Networks LLC (1)                                     27114611.0 (0.1%)
British Telecommunications PLC (34)                      26926174.0 (0.1%)
AS33891 Netzbetrieb GmbH (7)                             26885440.0 (0.1%)
Content Delivery Network Ltd (9)                         26751059.0 (0.1%)
Wikimedia Foundation, Inc. (2)                           26539828.0 (0.1%)
Leaseweb Asia Pacific pte. ltd. (11)                     26497078.0 (0.1%)
Eonix Corporation (8)                                    26080464.0 (0.1%)
Liteserver VOF (6)                                       25580081.0 (0.1%)
SoftLayer Technologies Inc. (19)                         25579835.0 (0.1%)
Profitbricks GmbH (1)                                    25465223.0 (0.1%)
AT&T Services, Inc. (20)                                 25324315.0 (0.1%)
Swiftway Sp. z o.o. (13)                                 25231732.0 (0.1%)
Unithost Internet B.V. (1)                               25187144.0 (0.1%)
i3d B.V. (3)                                             24645219.0 (0.1%)
Quasi Networks LTD. (6)                                  24081541.0 (0.1%)
EasySpeedy Danmark ApS (3)                               24062728.0 (0.1%)
D-hosting die Rackspace & Connectivity GmbH (1)          23800686.0 (0.1%)
EDIS GmbH (10)                                           23800458.0 (0.1%)
Coolhousing s.r.o. (4)                                   23776199.0 (0.1%)
Qwest Communications Company, LLC (16)                   23625969.0 (0.1%)
Specialized Bulletin Board Systems (1)                   23605628.0 (0.1%)
Hostiserver Ltd (1)                                      23467154.0 (0.1%)
TOCICI LLC (1)                                           23241261.0 (0.1%)
IPAX OG (2)                                              23229484.0 (0.1%)
Accelerated IT Services GmbH (18)                        22890820.0 (0.1%)
Sinarohost LTD (5)                                       22812278.0 (0.1%)
Telefonica De Espana (10)                                22570311.0 (0.1%)
PE Ivanov Vitaliy Sergeevich (7)                         22531531.0 (0.1%)
ACONET (1)                                               22356765.0 (0.1%)
Netwerkvereniging Coloclue (4)                           22065393.0 (0.1%)
Ziggo (21)                                               22029704.0 (0.1%)
Frontier Communications of America, Inc. (13)            21917260.0 (0.1%)
Aruba S.p.A. (14)                                        21627616.0 (0.1%)
Redstation Limited (2)                                   21557670.0 (0.1%)
Edutel BV (9)                                            21498383.0 (0.1%)
RCS & RDS (8)                                            21145015.0 (0.1%)
Ch-net S.r.l. (3)                                        20991862.0 (0.1%)
Arrowhead A/S (8)                                        20576312.0 (0.1%)
2COM Co Ltd. (3)                                         20410932.0 (0.1%)
23Media GmbH (9)                                         20214243.0 (0.1%)
Ownit AB (5)                                             20200423.0 (0.1%)
Denetron LLC (2)                                         20036783.0 (0.1%)
Aixit GmbH (1)                                           19858167.0 (0.1%)
Tehnologii Budushego LLC (1)                             19303031.0 (0.1%)
Ikoula Net SAS (4)                                       19282543.0 (0.1%)
(aq) networks limited (1)                                19251112.0 (0.1%)
University of North Carolina at Chapel Hill (1)          19171160.0 (0.1%)
LIAZO SARL (2)                                           19075894.0 (0.1%)
Bouygues Telecom SA (13)                                 19036716.0 (0.1%)
Portlane AB (11)                                         18933178.0 (0.1%)
HostHatch, Inc (7)                                       18776868.0 (0.1%)
MediaServicePlus LLC (5)                                 18767763.0 (0.1%)
PRO-ZETA a.s. (2)                                        18733814.0 (0.1%)
NetCologne GmbH (10)                                     18642233.0 (0.1%)
Transip B.V. (9)                                         18189765.0 (0.1%)
Altibox AS (7)                                           17785907.0 (0.1%)
MAROSNET Telecommunication Company LLC (4)               17732887.0 (0.1%)
Sologigabit S.L. (4)                                     17652219.0 (0.1%)
MULTACOM CORPORATION (4)                                 17432298.0 (0.1%)
BHost Inc (2)                                            17054078.0 (0.1%)
SDS-Vostok Ltd. (5)                                      16961369.0 (0.1%)
CAIW Diensten B.V. (4)                                   16701321.0 (0.1%)
Vodafone GmbH (36)                                       16568640.0 (0.1%)
dogado GmbH (2)                                          16169532.0 (0.1%)
Keminet Ltd. (5)                                         16119219.0 (0.1%)
T-Mobile Czech Republic a.s. (2)                         15948315.0 (0.1%)
Telefonica Germany (38)                                  15706916.0 (0.1%)
Zdruzenie pouzivatelov Slovenskej akademickej dato (4)   15492353.0 (0.1%)
PE Pashinska Oksana Vasulivna (2)                        15478641.0 (0.1%)
BSE Software GmbH (1)                                    15442215.0 (0.1%)
SIA Bighost.lv (12)                                      15353573.0 (0.1%)
IP-Connect LLC (4)                                       15315680.0 (0.1%)
Perspectiva Ltd. (6)                                     15297854.0 (0.1%)
PE Freehost (4)                                          15173820.0 (0.1%)
Google Inc. (9)                                          15126707.0 (0.1%)
velia.net Internetdienste GmbH (6)                       15109677.0 (0.1%)
Andreas Fink trading as Fink Telecom Services (2)        15089695.0 (0.1%)
Master Internet s.r.o. (6)                               14899310.0 (0.1%)
Iwacom Sp. Z O.o. (3)                                    14698351.0 (0.1%)
Riseup Networks (3)                                      14673022.0 (0.1%)
The New York Internet Company (3)                        14650720.0 (0.1%)
Alexhost Srl (3)                                         14650687.0 (0.1%)
Studentersamfundet i Trondhjem (1)                       14647804.0 (0.1%)
CESNET z.s.p.o. (2)                                      14539855.0 (0.1%)
ENTER S.r.l. (1)                                         14374912.0 (0.0%)
GoDaddy.com, LLC (3)                                     14336396.0 (0.0%)
1&1 Versatel Deutschland GmbH (11)                       14253538.0 (0.0%)
Saitis Network, N.Desir (2)                              14170663.0 (0.0%)
Hosteam S.c. Tomasz Groszewski Bartosz Waszak Luka (2)   14151840.0 (0.0%)
Marco Sandro Naf (1)                                     14100837.0 (0.0%)
Cablevision Systems Corp. (8)                            13941902.0 (0.0%)
Greenhost BV (4)                                         13904787.0 (0.0%)
Kopideja Ltd (2)                                         13902973.0 (0.0%)
Com Hem AB (8)                                           13890689.0 (0.0%)
Monkey Brains (4)                                        13777729.0 (0.0%)
Tele Danmark (11)                                        13528021.0 (0.0%)
Bredband2 AB (6)                                         13476041.0 (0.0%)
Host Sailor Ltd. (4)                                     13455051.0 (0.0%)
StreamLogic corp. (1)                                    13306365.0 (0.0%)
ServerBase GmbH (3)                                      13244512.0 (0.0%)
RM Engineering LLC (4)                                   13162129.0 (0.0%)
Karlsruhe Institute of Technology (1)                    13103327.0 (0.0%)
UAB Esnet (1)                                            13062038.0 (0.0%)
AllTele Allmanna Svenska Telefonaktiebolaget (3)         13040647.0 (0.0%)
Stockholms Stadsnat AB (2)                               12976681.0 (0.0%)
Neterra Ltd. (7)                                         12932596.0 (0.0%)
Hotwire Communications (1)                               12904348.0 (0.0%)
Hosting Solution Ltd. (5)                                12901413.0 (0.0%)
BELNET (5)                                               12865083.0 (0.0%)
CYBERDYNE (4)                                            12609776.0 (0.0%)
Internetport Sweden AB (5)                               12441068.0 (0.0%)
Trader soft LLC (3)                                      12435730.0 (0.0%)
Cronyx Plus Ltd. (2)                                     12379742.0 (0.0%)
Neo Telecoms S.A.S. (1)                                  12314304.0 (0.0%)
Dotsi, Unipessoal Lda. (4)                               12292208.0 (0.0%)
Visual Online S.A. (2)                                   12259902.0 (0.0%)
COLT Technology Services Group Limited (3)               12259148.0 (0.0%)
Cyberverse, Inc. (3)                                     12164933.0 (0.0%)
Hostpro Ltd. (2)                                         12106302.0 (0.0%)
Thor Data Center ehf (12)                                12045819.0 (0.0%)
Limestone Networks, Inc. (2)                             12009958.0 (0.0%)
Aktsiaselts WaveCom (1)                                  11902635.0 (0.0%)
PLUTEX GmbH (1)                                          11773853.0 (0.0%)
Psychz Networks (5)                                      11757794.0 (0.0%)
Login, Inc. (2)                                          11707965.0 (0.0%)
Obenetwork AB (3)                                        11683482.0 (0.0%)
RADIOGRAFICA COSTARRICENSE (6)                           11644865.0 (0.0%)
Rices Privately owned enterprise (3)                     11550534.0 (0.0%)
rrbone UG (haftungsbeschraenkt) (1)                      11508085.0 (0.0%)
Aruba SAS (5)                                            11500416.0 (0.0%)
NORDUnet (1)                                             11497802.0 (0.0%)
Concorde inc. (1)                                        11486069.0 (0.0%)
Rainside s.r.o. (1)                                      11470235.0 (0.0%)
3W Infra B.V. (1)                                        11391681.0 (0.0%)
Association Gitoyen (1)                                  11332751.0 (0.0%)
AO Countrycom (1)                                        11313840.0 (0.0%)
DataShack, LC (4)                                        11266741.0 (0.0%)
Total Server Solutions L.L.C. (5)                        11265014.0 (0.0%)
AEG (1)                                                  11238291.0 (0.0%)
Orange Espagne S.A.U. (7)                                11203912.0 (0.0%)
DIGI Tavkozlesi es Szolgaltato Kft. (5)                  11100963.0 (0.0%)
Hostline, Uab (1)                                        11041894.0 (0.0%)
Claranet Ltd (3)                                         10883645.0 (0.0%)
PLANET IC GmbH (1)                                       10879053.0 (0.0%)
Joe's Datacenter, LLC (2)                                10851022.0 (0.0%)
Melbikomas UAB (4)                                       10833305.0 (0.0%)
Snel.com B.V. (1)                                        10783404.0 (0.0%)
ON-LINE Ltd (1)                                          10730476.0 (0.0%)
Flashdance Ab (2)                                        10726824.0 (0.0%)
Lucky Net Ltd (3)                                        10718894.0 (0.0%)
Saint-Petersburg Computer Networks Ltd. (2)              10691472.0 (0.0%)
Seti Weba Ltd (2)                                        10683781.0 (0.0%)
University of Waterloo (2)                               10649620.0 (0.0%)
Telenet BVBA (7)                                         10618291.0 (0.0%)
Data Communication Business Group (8)                    10607088.0 (0.0%)
DataOppdrag AS (1)                                       10532155.0 (0.0%)
Cloudpro LLC (2)                                         10517351.0 (0.0%)
Volia (13)                                               10454114.0 (0.0%)
Rial Com JSC (1)                                         10435584.0 (0.0%)
Virgin Media Limited (23)                                10427615.0 (0.0%)
Dediserv Dedicated Servers Sp. z o.o. (1)                10341367.0 (0.0%)
Hosting Services, Inc. (4)                               10317213.0 (0.0%)
Sunrise Communications AG (4)                            10305896.0 (0.0%)
Netelligent Hosting Services Inc. (4)                    10286769.0 (0.0%)
Internet4U Kereskedelmi es Szolgaltato Kft. (1)          10266388.0 (0.0%)
Cox Communications Inc. (21)                             10250981.0 (0.0%)
Kabel BW (21)                                            10215170.0 (0.0%)
YOUR.ORG, INC. (1)                                       10210066.0 (0.0%)
PE Tetyana Mysyk (1)                                     10171392.0 (0.0%)
ELB Multimedia SARL (1)                                  10072353.0 (0.0%)
wilhelm.tel GmbH (8)                                     10060863.0 (0.0%)
Aqua Ray SAS (1)                                         10043537.0 (0.0%)
Universitaet Stuttgart (4)                               9914653.0 (0.0%)
SYN LTD (2)                                              9883159.0 (0.0%)
Bezeq International (7)                                  9833886.0 (0.0%)
vollmar.net GmbH (5)                                     9811159.0 (0.0%)
Delta Softmedia Ltd. (2)                                 9791765.0 (0.0%)
Nav Communications Srl (2)                               9759889.0 (0.0%)
lcp nv (2)                                               9730868.0 (0.0%)
US Dedicated (1)                                         9679364.0 (0.0%)
sprint S.A. (2)                                          9641984.0 (0.0%)
SuperNetwork s.r.o. (1)                                  9632418.0 (0.0%)
Hiper A/S (2)                                            9625111.0 (0.0%)
Charter Communications (18)                              9576123.0 (0.0%)
23VNet Kft. (2)                                          9530388.0 (0.0%)
Eigo Solutii Srl (4)                                     9515053.0 (0.0%)
Krond Solutions Srl (1)                                  9427468.0 (0.0%)
Tele2 SWIPnet (3)                                        9272040.0 (0.0%)
Central Telegraph Public Joint-stock Company (3)         9233647.0 (0.0%)
US Internet Corp (2)                                     9231295.0 (0.0%)
TOV Magnus Limited (1)                                   9222033.0 (0.0%)
JSC Internet-Cosmos (1)                                  9208834.0 (0.0%)
Comvive Servidores S.L. (1)                              9100797.0 (0.0%)
DoclerWeb Kft. (1)                                       9098240.0 (0.0%)
OJSC Ufanet (4)                                          8923691.0 (0.0%)
Incero LLC (4)                                           8913099.0 (0.0%)
Sardegna Wifi Srl (1)                                    8906712.0 (0.0%)
NETRIX SAS (2)                                           8827179.0 (0.0%)
Get AS (5)                                               8815255.0 (0.0%)
Mediam Oy (1)                                            8797698.0 (0.0%)
Steadfast (1)                                            8712457.0 (0.0%)
BelCloud Hosting Corporation (5)                         8481399.0 (0.0%)
Inetcom LLC (3)                                          8413259.0 (0.0%)
WebNX, Inc. (1)                                          8405457.0 (0.0%)
prgmr.com, Inc. (6)                                      8401335.0 (0.0%)
University of Utah (3)                                   8388426.0 (0.0%)
Message Express Internet (1)                             8388200.0 (0.0%)
Quickline AG (11)                                        8350216.0 (0.0%)
Colocall Ltd. (3)                                        8287128.0 (0.0%)
Fastweb (10)                                             8278000.0 (0.0%)
Netsign Networks GmbH (1)                                8184881.0 (0.0%)
COOL-IDEAS (1)                                           8184346.0 (0.0%)
Livenet Sp. z o.o. (4)                                   8165490.0 (0.0%)
LLC tc Tel Center (4)                                    8113315.0 (0.0%)
UNINETT AS (2)                                           8038319.0 (0.0%)
GANDI SAS (6)                                            7987552.0 (0.0%)
Next Host SRL (1)                                        7978645.0 (0.0%)
HOSTING90 systems s.r.o. (1)                             7971355.0 (0.0%)
server4you Inc. (2)                                      7868979.0 (0.0%)
Leaseweb USA, Inc. (2)                                   7860814.0 (0.0%)
Hyperoptic Ltd (3)                                       7852357.0 (0.0%)
WideOpenWest Finance LLC (8)                             7810374.0 (0.0%)
Enzu Inc (3)                                             7792483.0 (0.0%)
Im Level7 Srl (1)                                        7753416.0 (0.0%)
Qhoster Ltd. (1)                                         7737862.0 (0.0%)
Sorta-hosting-smllc (1)                                  7689161.0 (0.0%)
Videotron Telecom Ltee (5)                               7584491.0 (0.0%)
Reliable Hosting Services (1)                            7576306.0 (0.0%)
Nette sp. z o.o. (2)                                     7555034.0 (0.0%)
Simply Transit Ltd (3)                                   7538325.0 (0.0%)
Korea Telecom (11)                                       7519299.0 (0.0%)
Centrilogic, Inc. (2)                                    7423854.0 (0.0%)
Boston University (1)                                    7340553.0 (0.0%)
Webaxys SAS (3)                                          7336140.0 (0.0%)
TerraHost AS (2)                                         7283916.0 (0.0%)
AbeloHost B.V. (4)                                       7236485.0 (0.0%)
Shaw Communications Inc. (12)                            7131752.0 (0.0%)
Hydra Communications Ltd (4)                             7076787.0 (0.0%)
Telecom3 Sverige AB (4)                                  7069109.0 (0.0%)
JSC Mediasoft ekspert (2)                                7068375.0 (0.0%)
Cyber Wurx LLC (1)                                       7060746.0 (0.0%)
HostDime.com, Inc. (3)                                   7019586.0 (0.0%)
TekSavvy Solutions, Inc. (15)                            7019483.0 (0.0%)
GTT a.s. (2)                                             6992936.0 (0.0%)
Telia Lietuva, AB (5)                                    6988057.0 (0.0%)
Daticum JSC (1)                                          6943491.0 (0.0%)
RamNode LLC (11)                                         6936284.0 (0.0%)
Inter Connects Inc (2)                                   6889386.0 (0.0%)
MK Netzdienste GmbH & Co. KG (1)                         6848241.0 (0.0%)
HostPalace Web Solution PVT LTD (1)                      6776707.0 (0.0%)
home.pl S.A. (2)                                         6667970.0 (0.0%)
Hoffrath & Janssen GbR (2)                               6619659.0 (0.0%)
Limited liability company Mail.Ru (1)                    6567628.0 (0.0%)
DirectSpace Networks, LLC. (2)                           6560567.0 (0.0%)
Institute of Soil Science and Plant Cultivation (1)      6546393.0 (0.0%)
a.b.n. Jsc (1)                                           6526383.0 (0.0%)
KDDI CORPORATION (5)                                     6504183.0 (0.0%)
HIVELOCITY VENTURES CORP (2)                             6443835.0 (0.0%)
UAB Porenta (1)                                          6439343.0 (0.0%)
Turnkey Internet Inc. (1)                                6418432.0 (0.0%)
Dennis Rainer Warnholz trading as active-servers.c (4)   6398253.0 (0.0%)
TOV Trest Ukrtelebud (1)                                 6394729.0 (0.0%)
OJS Moscow city telephone network (7)                    6321419.0 (0.0%)
OOO Network of data-centers Selectel (4)                 6321401.0 (0.0%)
inAsset Networks, S.L. (1)                               6278737.0 (0.0%)
CS Sales Sweden AB (1)                                   6249678.0 (0.0%)
Autonomous Non-commercial Organization Regional Ne (1)   6237044.0 (0.0%)
Flex Ltd. (1)                                            6235101.0 (0.0%)
FOP Kazakov Oleksandr Oleksandrovich (2)                 6232649.0 (0.0%)
Prometeus di Daniela Agro (6)                            6227773.0 (0.0%)
Clarkson University (1)                                  6218303.0 (0.0%)
Servers.com, Inc. (1)                                    6161408.0 (0.0%)
Cenac Towing Co. (1)                                     6132419.0 (0.0%)
Verixi Sprl (1)                                          6122950.0 (0.0%)
SAKURA Internet Inc. (8)                                 6098809.0 (0.0%)
Continuum Data Centers, LLC. (2)                         6096061.0 (0.0%)
Shop-in-box LLC (1)                                      6076696.0 (0.0%)
NC Numericable S.A. (10)                                 6072760.0 (0.0%)
CityNet Telekom Ltd. (1)                                 6061403.0 (0.0%)
Beirel Telecom LLC (1)                                   6036142.0 (0.0%)
Condointernet.net (2)                                    6022642.0 (0.0%)
Petersburg Internet Network ltd. (1)                     5958922.0 (0.0%)
Sprint (2)                                               5935038.0 (0.0%)
PVimpelCom (5)                                           5922537.0 (0.0%)
dao Consulting, LLC (1)                                  5907785.0 (0.0%)
Intersvyaz-2 JSC (2)                                     5901830.0 (0.0%)
K Telecom (1)                                            5876313.0 (0.0%)
Loqal AS (1)                                             5867624.0 (0.0%)
Inovare-Prim SRL (1)                                     5853954.0 (0.0%)
Start LLC (2)                                            5841478.0 (0.0%)
GX INTERNET E WEB HOSTING SERV DE INFORMATICA LTDA (1)   5783253.0 (0.0%)
Tech Futures Interactive Inc. (4)                        5739052.0 (0.0%)
vanoppen.biz LLC (6)                                     5688661.0 (0.0%)
Liquid Web, L.L.C (3)                                    5663157.0 (0.0%)
The University of Western Ontario (1)                    5595216.0 (0.0%)
Szervernet Ltd (1)                                       5574811.0 (0.0%)
Mobiltel Ead (5)                                         5554400.0 (0.0%)
Internap Network Services Corporation (2)                5515721.0 (0.0%)
Namecheap, Inc. (1)                                      5503438.0 (0.0%)
NINET Company Nis d.o.o. (1)                             5456079.0 (0.0%)
Metronet (1)                                             5439745.0 (0.0%)
iHome LLC (1)                                            5382907.0 (0.0%)
HighSpeed Office Limited (2)                             5362286.0 (0.0%)
Sternforth Ltd. (2)                                      5313290.0 (0.0%)
Gorset Ltd. (1)                                          5310571.0 (0.0%)
Allo Communications LLC (1)                              5309721.0 (0.0%)
Individual Network Berlin e.V. (4)                       5299480.0 (0.0%)
High-Speed Universal Broadband Services C.I.C. (1)       5291990.0 (0.0%)
Histate Global Corp. (4)                                 5258475.0 (0.0%)
Hostinger International Limited (3)                      5192120.0 (0.0%)
So-net Entertainment Corporation (6)                     5173801.0 (0.0%)
GARS Telecom - Telecommunications Management LLC (1)     5151642.0 (0.0%)
K-NET SARL (1)                                           5139140.0 (0.0%)
JMDI Jacek Maleszko (3)                                  5105996.0 (0.0%)
GMO Internet,Inc (5)                                     5097502.0 (0.0%)
nexellent ag (1)                                         5092126.0 (0.0%)
TATA COMMUNICATIONS (AMERICA) INC (1)                    5089769.0 (0.0%)
ATW Internet Kft. (1)                                    5065036.0 (0.0%)
HostUS (5)                                               5055783.0 (0.0%)
Hostmaze Inc Srl-d (3)                                   5046505.0 (0.0%)
Iway AG (6)                                              5013891.0 (0.0%)
Netgroup A/S (1)                                         4996799.0 (0.0%)
Input Output Flood LLC (4)                               4983221.0 (0.0%)
UK Dedicated Servers Limited (1)                         4977152.0 (0.0%)
Priority Colo Inc (1)                                    4946216.0 (0.0%)
CloudHosting SIA (1)                                     4942116.0 (0.0%)
Nerim SAS (1)                                            4940855.0 (0.0%)
OJSC Comcor (1)                                          4931465.0 (0.0%)
SC Fastweb SRL (1)                                       4927160.0 (0.0%)
Junet AB (1)                                             4921489.0 (0.0%)
Maxnet Telecom, Ltd (1)                                  4907361.0 (0.0%)
